id,en,el,fr,de,pl,pt_BR,ru,zh_TW
OK,OK,Εντάξει,OK,OK,OK,OK,OK,OK
Cancel,Cancel,Άκυρο,Annuler,Abbrechen,Anuluj,Cancelar,Отмена,取消
Open,Open,Άνοιγμα,Ouvrir,Öffnen,Otwórz,Abrir,Открыть,打開
Please Confirm...,Please Confirm...,Παρακαλώ επιβεβαιώστε...,Veuillez confirmer...,Bitte bestätigen...,Proszę potwierdzić...,Por Favor Confirme...,Пожалуйста подтвердите...,確認...
Image Size,Image Size,Μέγεθος εικόνας,Taille de l'image,Bildgröße,Rozmiar obrazu,Tamanho da Imagem,Размер изображения,圖片尺寸
Width:,Width:,Πλάτος:,Largeur :,Weite,Szerokość:,Largura:,Ширина:,寬:
Height:,Height:,Ύψος:,Hauteur :,Höhe,Wysokość:,Altura:,Высота,高:
File,File,Αρχείο,Fichier,Datei,Plik,Arquivo,Файл,檔案
Edit,Edit,Επεξεργασία,Édition,Bearbeiten,Edycja,Editar,Редактировать,編輯
View,View,Προβολή,Affichage,Ansicht,Widok,Ver,Просмотр,檢視
Help,Help,Βοήθεια,Aide,Hilfe,Pomoc,Ajuda,Помощь,幫助
New...,New...,Νέο...,Nouveau...,Neu,Nowy...,Novo...,Создать...,開新檔案
Open...,Open...,Άνοιγμα...,Ouvrir...,Öffnen...,Otwórz...,Abrir...,Открыть...,打開舊檔
Save...,Save...,Αποθήκευση...,Enregistrer...,Speichern...,Zapisz...,Salvar...,Сохранить...,儲存
Save as...,Save as...,Αποθήκευση ως...,Enregistrer sous...,Speichern als...,Zapisz jako...,Salvar como...,Сохранить как...,儲存為
Import PNG...,Import PNG...,Εισαγωγή PNG...,Importer une image PNG...,Importiere PNG,Importuj PNG…,Importar PNG...,Импорт PNG...,匯入PNG檔
Export PNG...,Export PNG...,Εξαγωγή PNG...,Exporter une image PNG...,Exportiere PNG,Eksportuj PNG…,Exportar PNG...,Экспорт PNG...,輸出PNG檔
Export PNG as...,Export PNG as...,Εξαγωγή PNG ως...,Exporter une image PNG sous...,Exportiere PNG als...,Eksportuj PNG jako...,Exportar PNG como...,Экспортировать PNG как...,輸出PNG為...
Quit,Quit,Έξοδος,Quitter,Verlassen,Wyjdź,Sair,Выйти,離開
Undo,Undo,Αναίρεση,Annuler,Rückgängig,Cofnij,Desfazer,Отменить,取消
